Source,Target,Type,Id,Label,Weight,Weight/Total Weight,Weight*TotalEdges,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11,16,Undirected,2,,0.01731,0.118617703,174.95217,1,,,,,,,,,,,,,,,,37.001727,,,,
11,19,Undirected,3,,0.01286,0.088123839,129.97602,2,,,,,,,,,,,,,,,,,,,,
11,14,Undirected,4,,0.01237,0.084766088,125.02359,3,,,,,,,,,,,,,,,,,,,,
11,13,Undirected,5,,0.01108,0.075926294,111.98556,4,,,,,,,,,,,,,,,,,,,,
11,9,Undirected,6,,0.01019,0.069827521,102.99033,5,,,,,,,,,,,,,,,,,,,,
11,15,Undirected,7,,0.01019,0.069827521,102.99033,6,,,,,,,,,,,,,,,,,,,,
11,3,Undirected,8,,0.008905,0.06102199,90.002835,7,,,,,,,,,,,,,,,,,,,,
11,17,Undirected,9,,0.007421,0.0508528,75.004047,8,,,,,,,,,,,,,,,,,,,,
11,8,Undirected,10,,0.006827,0.046782383,69.000489,9,,,,,,,,,,,,,,,,,,,,
16,14,Undirected,19,,0.00653,0.044747175,65.99871,10,,,,,,,,,,,,,,,,,,,,
11,12,Undirected,12,,0.005244,0.035934791,53.001108,11,,,,,,,,,,,,,,,,,,,,
11,18,Undirected,11,,0.005244,0.035934791,53.001108,12,,,,,,,,,,,,,,,,,,,,
11,4,Undirected,13,,0.004848,0.03322118,48.998736,13,,,,,,,,,,,,,,,,,,,,
11,10,Undirected,14,,0.004452,0.030507569,44.996364,14,,,,,,,,,,,,,,,,,,,,
11,6,Undirected,15,,0.004353,0.029829166,43.995771,15,,,,,,,,,,,,,,,,,,,,
16,3,Undirected,20,,0.003859,0.026444004,39.002913,16,,,,,,,,,,,174.95217,,,,,,,,,
11,5,Undirected,16,,0.00376,0.025765602,38.00232,17,,,,,,,,,,,,,,,,,,,,
1,16,Undirected,1,,0.003661,0.025087199,37.001727,18,,,,,,,,,,,,,,,,,,,,
11,7,Undirected,17,,0.003661,0.025087199,37.001727,19,,,,,,,,,,,,,,,,,,,,
11,2,Undirected,18,,0.003166,0.021695185,31.998762,20,,,,,,,,,,,129.97602,,,,,,,,,
,,,,,0.145931,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10107,,,,,,,,,,,,,,,,,,,,,,,
