,Word,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum,D.Mean.Sum,D.SD.Sum,D.Rat.Sum
1,aardvark,6.26,2.21,19,2.41,1.4,22,4.27,1.75,15
2,abalone,5.3,1.59,20,2.65,1.9,20,4.95,1.79,22
3,abandon,2.84,1.54,19,3.73,2.43,22,3.32,2.5,22
4,abandonment,2.63,1.74,19,4.95,2.64,21,2.64,1.81,28
5,abbey,5.85,1.69,20,2.2,1.7,20,5,2.02,25
6,abdomen,5.43,1.75,21,3.68,2.23,22,5.15,1.94,27
7,abdominal,4.48,1.59,23,3.5,1.82,22,5.32,2.11,19
8,abduct,2.42,1.61,19,5.9,2.57,20,2.75,2.13,24
9,abduction,2.05,1.31,19,5.33,2.2,21,3.02,2.42,48
10,abide,5.52,1.75,21,3.26,2.22,23,5.33,2.83,18
11,abiding,5.57,1.75,23,3.59,2.26,22,6.6,2.3,20
12,ability,7,1.59,20,4.85,2.74,20,6.55,2.48,22
13,abject,4,1.29,19,3.94,2.41,17,4.35,2.6,17
14,ablaze,5.15,1.79,20,6.75,2.12,20,4.58,2.39,36
15,able,6.64,1.79,22,3.38,2.25,21,6.17,2.62,18
16,abnormal,3.53,1.22,19,4.48,2.29,21,4.7,2.44,23
17,abnormality,3.05,1.81,19,5,2.62,22,3.96,2.5,23
18,abode,5.28,1.27,18,2.9,1.89,21,5.05,2.44,20
19,abolish,3.84,1.54,19,4.18,2.07,17,4.65,2.42,17
20,abominable,4.05,1.23,20,5.45,2.44,22,4.62,1.83,21
21,abomination,2.5,1.65,18,5.9,2.59,20,3.8,1.38,25
22,abort,3.1,1.37,20,5.8,2.44,20,3.38,2.21,26
23,abortion,2.58,1.84,19,5.43,2.38,47,4.73,2.95,44
24,abracadabra,5.11,2.52,18,5.27,2.64,22,4.96,1.97,24
25,abrasive,4.26,1.69,19,6.1,1.89,21,4.94,2.32,34
26,abreast,4.62,1.94,21,4.61,2.33,23,5.19,1.99,21
27,abrupt,3.28,1.64,18,5.23,2,22,3.75,1.8,24
28,abscess,2.79,1.58,19,4,2.38,20,3.95,2.31,20
29,absence,3.86,2.08,21,4.3,2.13,20,4.24,2.32,21
30,absent,4.1,1.55,21,3.72,2.48,25,4.21,2.37,19
31,absinthe,3.53,1.98,19,3.7,2.34,20,3.95,1.82,20
32,absolute,5.43,1.4,21,3.48,2.27,23,5.58,2.66,26
33,absolution,6.58,1.68,19,3.38,2.11,21,5.75,2.33,24
34,absolve,4.58,1.54,19,3.53,1.94,17,4.82,2.46,17
35,absorb,5.5,1.6,22,4.27,1.91,22,5.62,1.66,24
36,abstain,4.4,0.94,20,3.1,1.81,21,6.08,2.25,25
37,abstinence,3.43,1.63,21,3.15,2.37,20,5.64,2.85,22
38,abstract,5.25,1.59,20,3.96,2.9,24,5.53,2.59,19
39,absurd,4.45,1.92,40,4.02,2.06,43,5.06,2.39,18
40,absurdity,4.06,2.18,18,4.7,2.36,23,5.37,2.29,19
41,abundance,6.67,1.5,18,4.72,2.7,18,5.66,2.19,62
42,abundant,7.55,1.39,20,4.21,2.7,19,5.81,1.88,26
43,abuse,1.53,1.07,19,6.21,2.17,42,2.9,2.17,20
44,abusive,2.05,1.7,20,5.27,2.43,22,3.58,2.5,19
45,abysmal,3.45,1.39,20,3.91,1.98,23,3.76,1.64,21
46,abyss,3.9,1.51,21,4.85,2.41,20,4,2.68,21
47,academic,6.61,1.54,18,3.32,2.23,22,6.21,2.13,28
48,academy,5.32,1.89,19,3.77,2.16,22,5.38,1.71,24
49,accelerant,4.59,1.59,22,4.81,2.14,26,6.04,2.01,24
50,accelerate,6.1,1.48,21,6.04,1.77,23,6.15,2.07,26
51,accelerated,6.21,1.55,19,4.75,2.67,24,6.29,1.92,28
52,acceleration,6.19,1.54,21,6.73,2.1,22,5.76,2.05,21
53,accelerator,5.63,1.16,19,5,2.45,18,6.65,1.84,17
54,accent,6.48,1.54,21,4.95,2.67,20,5.36,2.47,36
55,accept,6.39,1.65,18,2.8,2.26,20,5.94,2.13,18
56,acceptable,6.59,1.53,22,3.65,2.33,23,6.58,1.92,19
57,acceptance,6.84,1.31,38,4.3,2.82,46,6.49,2.43,47
58,access,6.68,1.39,22,5.3,2.32,20,6.89,2.18,19
59,accessible,6.68,1.38,19,3.2,2.42,25,6.58,2.24,19
60,accessory,5.35,1.9,20,4.22,2.69,18,5.83,2.43,24
61,accident,2.55,1.25,42,4.93,2.56,43,3,2.11,48
62,accidental,3.46,1.25,24,4,2.47,20,3.41,2.59,22
63,acclaim,6.1,1.61,21,3.95,2.01,22,5.77,1.88,22
64,accommodate,6.35,1.73,20,3,1.61,18,6.27,1.96,22
65,accommodation,6.76,1.7,21,4.72,2.07,25,6,2.29,22
66,accompany,5.47,1.22,19,3.85,1.84,20,5.63,2.36,19
67,accomplice,4.6,1.39,20,4.5,2.61,20,5.2,2.5,25
68,accomplish,7.45,1.15,20,5.16,2.81,19,7.27,1.52,22
69,accomplishment,8.05,0.86,21,4.96,2.3,25,6.5,2.44,22
70,accord,6.38,1.56,21,2.85,1.9,20,5.64,2.89,22
71,accordion,5.26,2.08,19,2.94,2.21,18,5.21,2.11,24
72,account,5.39,1.61,18,3.76,2.49,21,5.06,2.21,18
73,accountability,4.89,1.94,19,3.7,2.27,20,6.55,2.46,20
74,accountable,5.7,1.69,20,4.2,1.96,20,5.57,2.29,21
75,accountant,5.19,1.69,21,3.81,2.18,21,5.72,2.05,25
76,accounting,4.42,2.09,19,3.68,2.4,22,4.48,2.21,23
77,accumulate,6.33,2,18,2.73,2.27,22,6.15,1.83,27
78,accuracy,6.32,1.7,19,3.33,2.18,21,6.74,1.76,23
79,accurate,7.42,1.57,19,4.35,2.25,23,6.47,1.93,19
80,accursed,3.21,1.36,19,5.33,2.13,21,4.13,2.3,23
81,accusation,3.38,1.75,21,5.48,2.23,23,3.62,1.92,26
82,accuse,2.68,1.63,19,5.32,2.08,22,4,2.32,24
83,ace,6.37,1.34,19,4.64,2.38,22,6.61,1.84,38
